property,description,unit,GLOSIS observation class,GLOSIS observed property,GLOSIS observation result unit,Procedure,notes
ESP,The exchangeable sodium percentage has been used to indicate levels of sodium in soils. It is calculated as the ratio of Na in the CEC (or sum of cations) ESP= Na*100/CECsoil. Data are derived directly from the WISE30sec database.,%,glosis_lh:SodiumExchangeableBases,physioChemicalValueCode-Sodexc,PERCENT,-,
TCARBON_EQ,"calcium carbonate is a chemical compound (a salt), with the chemical formula CaCO3. It is a common substance found as rock in all parts of the world. Calcium carbonate is quite common in soils particularly in drier areas and it may occur in different forms as mycelium-like threads, as soft powdery lime, as harder concretions or cemented in petrocalcic horizons. Low levels of calcium carbonate enhance soil structure and are generally beneficial for crop production but at higher concentrations they may induce iron deficiency and when cemented limit the water storage capacity of soils. Data are derived directly from the WISE30sec database.",%w,glosis_lh:TotalCarbonateEquivalent,physioChemicalValueCode-Calfra,PERCENT,-,
GYPSUM,"Gypsum is a chemical compound (a salt) which occurs occasionally in soils particularly in the driest areas of the globe where it can occur in a flower-like form typically opaque with embedded sand grains called desert rose. In soils it may occur in fibers, crystals or soft. Data are derived directly from the WISE30sec database.",%w,glosis_lh:Gypsum,physioChemicalValueCode-Gyp,PERCENT,-,
ELEC_COND,Coastal and desert soils can be enriched with water-soluble salts or salts more soluble than gypsum. The salt content of a soil can be roughly estimated from the Electrical Conductivity of the soil measured in a saturated soil paste or a more diluted suspension of soil in water. Data are directly derived from the WISE30sec database.,dS/m,glosis_lh:ElectricalConductivity,physioChemicalValueCode-Eleccond,DeciS-PER-M,-,
,,,,,,,
,,,,,,,
,,,,,,,
Site properties,,,,,,,
WRB_PHASES,the full symbol of the WRB soil name taking into account phases and referring to the Soil Reference Group plus all primary qualifiers (see SOIL CLASSIFICATION for details).,,glosis_pr:SoilClassificationWRB,glosis_pr:SoilClassificationWRBProperty ,,,
TEXTURE_USDA,USDA texture class name and code. Soil texture is a soil property used to describe the relative proportion of different grain sizes of mineral particles in a soil,,glosis_pr:SoilClassificationUSDA,glosis_pr:SoilClassificationUSDAProperty ,,,
,,,,,,,
Other in CSV,,,,,,,
COVERAGE,,,,,,,
SEQUENCE,the sequence in which soil units within the soil mapping unit are presented (in order of percentage share). The dominant soil has sequence 1. The sequence can range between 1 and 12.,,,,,,
SHARE,share of the soil unit within the mapping unit in percentage. Shares of soil units within a mapping unit always sum up to 100 percent.,,,,,,
LAYER,Depth identifier,,,,,,
TEXTURE_SOTER,,,,,,,
AWC,"The maximum amount of water that the soil can hold that is available for plant growth. It is the difference between the amount of water in the soil at field capacity and the amount of water in the soil at wilting point. It is also referred to as Available Water Capacity (AWC). AWC depends on physical and chemical characteristics, but above all on effective depth or volume of the soil (FAO, 1995). The presence of a root-restricting layer reduces the water holding capacity, therefore the AWC is calculated until the rootable depth of a soil.",mm,,,,,
CN_RATIO,"A carbon-to-nitrogen ratio is a ratio of the mass of carbon to the mass of nitrogen in soil material. The C:N ratio is a key indicator as it describes a balance between energetic foods (represented by carbon) and material to build protein with (represented by nitrogen). An optimal C:N ratio of around 24:1 provides for higher microbial activity (USDA, 2011). Data are directly derived from WISE30sec. Note that C/N ratios have been calculated as is from the measured data (CNrt), not as the ratio of the derived values for C and N, ditto for CECclay, as this would introduce additional errors.",,,,,,
TEB,"Total exchangeable bases stand for the sum of exchangeable cations in a soil: sodium (Na+), calcium (Ca++), magnesium (Mg++) and Potassium (K+). Data are directly derived from the WISE30sec database.",cmolc/kg,,,,,
